"DateTime","Players"
"2018-11-16 00:00:00",8
"2018-11-17 00:00:00",17
"2018-11-18 00:00:00",11
"2018-11-19 00:00:00",7
"2018-11-20 00:00:00",8
"2018-11-21 00:00:00",13
"2018-11-22 00:00:00",9
"2018-11-23 00:00:00",15
"2018-11-24 00:00:00",8
"2018-11-25 00:00:00",20
"2018-11-26 00:00:00",7
"2018-11-27 00:00:00",9
"2018-11-28 00:00:00",3
"2018-11-29 00:00:00",8
"2018-11-30 00:00:00",10
"2018-12-01 00:00:00",17
"2018-12-02 00:00:00",13
"2018-12-03 00:00:00",10
"2018-12-04 00:00:00",8
"2018-12-05 00:00:00",6
"2018-12-06 00:00:00",12
"2018-12-07 00:00:00",7
"2018-12-08 00:00:00",9
"2018-12-09 00:00:00",18
"2018-12-10 00:00:00",17
"2018-12-11 00:00:00",6
"2018-12-12 00:00:00",8
"2018-12-13 00:00:00",8
"2018-12-14 00:00:00",8
"2018-12-15 00:00:00",11
"2018-12-16 00:00:00",6
"2018-12-17 00:00:00",8
"2018-12-18 00:00:00",10
"2018-12-19 00:00:00",6
"2018-12-20 00:00:00",5
"2018-12-21 00:00:00",7
"2018-12-22 00:00:00",20
"2018-12-23 00:00:00",10
"2018-12-24 00:00:00",10
"2018-12-25 00:00:00",16
"2018-12-26 00:00:00",8
"2018-12-27 00:00:00",15
"2018-12-28 00:00:00",12
"2018-12-29 00:00:00",15
"2018-12-30 00:00:00",17
"2018-12-31 00:00:00",11
"2019-01-01 00:00:00",18
"2019-01-02 00:00:00",16
"2019-01-03 00:00:00",23
"2019-01-04 00:00:00",19
"2019-01-05 00:00:00",21
"2019-01-06 00:00:00",20
"2019-01-07 00:00:00",24
"2019-01-08 00:00:00",9
"2019-01-09 00:00:00",13
"2019-01-10 00:00:00",14
"2019-01-11 00:00:00",6
"2019-01-12 00:00:00",19
"2019-01-13 00:00:00",13
"2019-01-14 00:00:00",18
"2019-01-15 00:00:00",10
"2019-01-16 00:00:00",14
"2019-01-17 00:00:00",6
"2019-01-18 00:00:00",10
"2019-01-19 00:00:00",16
"2019-01-20 00:00:00",14
"2019-01-21 00:00:00",9
"2019-01-22 00:00:00",11
"2019-01-23 00:00:00",7
"2019-01-24 00:00:00",13
"2019-01-25 00:00:00",14
"2019-01-26 00:00:00",21
"2019-01-27 00:00:00",39
"2019-01-28 00:00:00",14
"2019-01-29 00:00:00",13
"2019-01-30 00:00:00",21
"2019-01-31 00:00:00",12
"2019-02-01 00:00:00",11
"2019-02-02 00:00:00",21
"2019-02-03 00:00:00",20
"2019-02-04 00:00:00",20
"2019-02-05 00:00:00",10
"2019-02-06 00:00:00",10
"2019-02-07 00:00:00",14
"2019-02-08 00:00:00",12
"2019-02-09 00:00:00",24
"2019-02-10 00:00:00",27
"2019-02-11 00:00:00",22
"2019-02-12 00:00:00",23
"2019-02-13 00:00:00",17
"2019-02-14 00:00:00",15
"2019-02-15 00:00:00",20
"2019-02-16 00:00:00",20
"2019-02-17 00:00:00",23
"2019-02-18 00:00:00",19
"2019-02-19 00:00:00",20
"2019-02-20 00:00:00",22
