"DateTime","Players"
"2021-11-19 00:00:00",105397
"2021-11-20 00:00:00",100669
"2021-11-21 00:00:00",93025
"2021-11-22 00:00:00",65972
"2021-11-23 00:00:00",58670
"2021-11-24 00:00:00",51862
"2021-11-25 00:00:00",54046
"2021-11-26 00:00:00",54462
"2021-11-27 00:00:00",57186
"2021-11-28 00:00:00",52524
"2021-11-29 00:00:00",39018
"2021-11-30 00:00:00",34559
"2021-12-01 00:00:00",30642
"2021-12-02 00:00:00",30254
"2021-12-03 00:00:00",34545
"2021-12-04 00:00:00",39189
"2021-12-05 00:00:00",37263
"2021-12-06 00:00:00",27010
"2021-12-07 00:00:00",24513
"2021-12-08 00:00:00",23648
"2021-12-09 00:00:00",25458
"2021-12-10 00:00:00",26538
"2021-12-11 00:00:00",30077
"2021-12-12 00:00:00",26795
"2021-12-13 00:00:00",19464
"2021-12-14 00:00:00",19101
"2021-12-15 00:00:00",17647
"2021-12-16 00:00:00",18907
"2021-12-17 00:00:00",37564
"2021-12-18 00:00:00",47883
"2021-12-19 00:00:00",45009
"2021-12-20 00:00:00",30983
"2021-12-21 00:00:00",19516
"2021-12-22 00:00:00",18674
"2021-12-23 00:00:00",19045
"2021-12-24 00:00:00",19098
"2021-12-25 00:00:00",18895
"2021-12-26 00:00:00",19328
"2021-12-27 00:00:00",17426
"2021-12-28 00:00:00",16590
"2021-12-29 00:00:00",16544
"2021-12-30 00:00:00",16756
"2021-12-31 00:00:00",15895
"2022-01-01 00:00:00",17574
"2022-01-02 00:00:00",17365
"2022-01-03 00:00:00",14744
"2022-01-04 00:00:00",12725
"2022-01-05 00:00:00",11950
"2022-01-06 00:00:00",12202
"2022-01-07 00:00:00",12196
"2022-01-08 00:00:00",13574
"2022-01-09 00:00:00",13296
"2022-01-10 00:00:00",10355
"2022-01-11 00:00:00",9046
"2022-01-12 00:00:00",8668
"2022-01-13 00:00:00",8537
"2022-01-14 00:00:00",9224
"2022-01-15 00:00:00",10462
"2022-01-16 00:00:00",10112
"2022-01-17 00:00:00",8516
"2022-01-18 00:00:00",7171
"2022-01-19 00:00:00",6945
"2022-01-20 00:00:00",8054
"2022-01-21 00:00:00",7576
"2022-01-22 00:00:00",8078
"2022-01-23 00:00:00",7945
"2022-01-24 00:00:00",5757
"2022-01-25 00:00:00",5522
"2022-01-26 00:00:00",5214
"2022-01-27 00:00:00",5459
"2022-01-28 00:00:00",5687
"2022-01-29 00:00:00",6645
"2022-01-30 00:00:00",6560
"2022-01-31 00:00:00",4929
"2022-02-01 00:00:00",4773
"2022-02-02 00:00:00",4712
"2022-02-03 00:00:00",5140
"2022-02-04 00:00:00",5144
"2022-02-05 00:00:00",5618
"2022-02-06 00:00:00",5666
"2022-02-07 00:00:00",4250
"2022-02-08 00:00:00",3980
"2022-02-09 00:00:00",3531
"2022-02-10 00:00:00",3782
"2022-02-11 00:00:00",3906
"2022-02-12 00:00:00",4437
"2022-02-13 00:00:00",4285
"2022-02-14 00:00:00",2853
"2022-02-15 00:00:00",2868
"2022-02-16 00:00:00",2665
"2022-02-17 00:00:00",2831
"2022-02-18 00:00:00",3149
"2022-02-19 00:00:00",3570
"2022-02-20 00:00:00",3462
"2022-02-21 00:00:00",2731
