"DateTime","Players"
"2013-12-01 00:00:00",22571
"2013-12-02 00:00:00",
"2013-12-03 00:00:00",
"2013-12-04 00:00:00",
"2013-12-05 00:00:00",
"2013-12-06 00:00:00",
"2013-12-07 00:00:00",
"2013-12-08 00:00:00",
"2013-12-09 00:00:00",
"2013-12-10 00:00:00",1923
"2013-12-11 00:00:00",4251
"2013-12-12 00:00:00",6068
"2013-12-13 00:00:00",8970
"2013-12-14 00:00:00",12840
"2013-12-15 00:00:00",12843
"2013-12-16 00:00:00",11859
"2013-12-17 00:00:00",11508
"2013-12-18 00:00:00",12176
"2013-12-19 00:00:00",12505
"2013-12-20 00:00:00",13486
"2013-12-21 00:00:00",13953
"2013-12-22 00:00:00",14124
"2013-12-23 00:00:00",14470
"2013-12-24 00:00:00",12126
"2013-12-25 00:00:00",14216
"2013-12-26 00:00:00",14606
"2013-12-27 00:00:00",9023
"2013-12-28 00:00:00",14403
"2013-12-29 00:00:00",18487
"2013-12-30 00:00:00",22711
"2013-12-31 00:00:00",24821
"2014-01-01 00:00:00",51872
"2014-01-02 00:00:00",25146
"2014-01-03 00:00:00",26053
"2014-01-04 00:00:00",27384
"2014-01-05 00:00:00",27384
"2014-01-06 00:00:00",24893
"2014-01-07 00:00:00",23831
"2014-01-08 00:00:00",23517
"2014-01-09 00:00:00",25559
"2014-01-10 00:00:00",32003
"2014-01-11 00:00:00",34910
"2014-01-12 00:00:00",34910
"2014-01-13 00:00:00",28637
"2014-01-14 00:00:00",28750
"2014-01-15 00:00:00",28228
"2014-01-16 00:00:00",29899
"2014-01-17 00:00:00",36053
"2014-01-18 00:00:00",38489
"2014-01-19 00:00:00",37663
"2014-01-20 00:00:00",34755
"2014-01-21 00:00:00",34293
"2014-01-22 00:00:00",33354
"2014-01-23 00:00:00",36188
"2014-01-24 00:00:00",49619
"2014-01-25 00:00:00",52291
"2014-01-26 00:00:00",50770
"2014-01-27 00:00:00",25451
"2014-01-28 00:00:00",44720
"2014-01-29 00:00:00",43140
"2014-01-30 00:00:00",44674
"2014-01-31 00:00:00",54218
"2014-02-01 00:00:00",58973
"2014-02-02 00:00:00",54368
"2014-02-03 00:00:00",44691
"2014-02-04 00:00:00",47477
"2014-02-05 00:00:00",43817
"2014-02-06 00:00:00",47313
"2014-02-07 00:00:00",56364
"2014-02-08 00:00:00",59118
"2014-02-09 00:00:00",54492
"2014-02-10 00:00:00",47709
"2014-02-11 00:00:00",46598
"2014-02-12 00:00:00",48234
"2014-02-13 00:00:00",42596
"2014-02-14 00:00:00",56518
"2014-02-15 00:00:00",57593
"2014-02-16 00:00:00",50212
"2014-02-17 00:00:00",48449
"2014-02-18 00:00:00",45404
"2014-02-19 00:00:00",39171
"2014-02-20 00:00:00",45854
"2014-02-21 00:00:00",51423
"2014-02-22 00:00:00",51740
"2014-02-23 00:00:00",44248
"2014-02-24 00:00:00",40655
"2014-02-25 00:00:00",42143
"2014-02-26 00:00:00",40355
"2014-02-27 00:00:00",40347
"2014-02-28 00:00:00",48590
"2014-03-01 00:00:00",48979
"2014-03-02 00:00:00",43491
"2014-03-03 00:00:00",40419
"2014-03-04 00:00:00",37346
"2014-03-05 00:00:00",35993
"2014-03-06 00:00:00",39049
"2014-03-07 00:00:00",43026
"2014-03-08 00:00:00",45948
"2014-03-09 00:00:00",40683
"2014-03-10 00:00:00",34043
"2014-03-11 00:00:00",33354
"2014-03-12 00:00:00",31666
"2014-03-13 00:00:00",32861
"2014-03-14 00:00:00",38644
"2014-03-15 00:00:00",37759
"2014-03-16 00:00:00",30845
"2014-03-17 00:00:00",29158
"2014-03-18 00:00:00",29291
"2014-03-19 00:00:00",29193
"2014-03-20 00:00:00",29166
